series,auc_roc,auc_pr,f1,accuracy,threshold,n_windows,n_anomaly
A-1,0.709896,0.359531,0.431818,0.988264,0.032814,8521,107
A-2,0.761401,0.424719,0.535519,0.989096,1.578306,7795,133
A-3,0.819707,0.428898,0.459259,0.972916,1.406272,8086,208
A-4,0.829848,0.486236,0.518868,0.987188,1.799131,7961,133
A-5,0.821559,0.680092,0.803279,0.994753,20080.322266,4574,73
A-6,0.960659,0.877446,0.932203,0.998154,6.1744,4334,63
A-7,0.198355,0.179948,0.444608,0.289709,1.019068,8512,2423
A-8,0.055367,0.296883,0.631073,0.460998,0.068448,8256,3806
A-9,0.016318,0.282246,0.634647,0.464823,0.098175,8315,3865
B-1,0.573214,0.013171,0.049673,0.63306,1.993906,7925,93
C-1,0.705187,0.339013,0.385965,0.755245,1.653451,2145,356
C-2,0.774408,0.417475,0.419244,0.912526,1.729198,1932,181
D-1,0.96047,0.962761,0.942055,0.957449,16.630745,8390,3259
D-11,0.682107,0.612018,0.723404,0.994666,1.804861,7312,83
D-12,0.967518,0.95786,0.966428,0.977177,0.023045,7799,2740
D-13,0.632197,0.031611,0.116921,0.677625,0.496072,7544,183
D-14,0.960317,0.929254,0.947162,0.989226,0.412523,2506,266
D-15,0.868305,0.790853,0.796366,0.868073,2.951587,2039,658
D-16,0.517969,0.471223,0.592658,0.555502,0.042048,2072,673
D-2,0.955878,0.956271,0.954248,0.956229,0.237398,8476,4240
D-3,0.977599,0.880467,0.982425,0.986152,0.295379,8521,3298
D-4,1.0,1.0,0.999846,0.99988,0.939206,8354,3248
D-5,0.795206,0.513596,0.567568,0.991477,8797.367188,7509,73
D-6,0.58486,0.438605,0.526316,0.98841,0.688071,7765,103
D-7,0.981865,0.976757,0.98153,0.986973,0.255253,7523,2702
D-8,0.875468,0.616907,0.625767,0.992134,0.068216,7755,73
D-9,0.903547,0.837696,0.89325,0.969398,2.000244,7287,1156
E-1,0.627141,0.088245,0.183385,0.559843,1.421344,8397,552
E-10,0.854962,0.4331,0.538737,0.953852,2.579719,8386,366
E-11,0.877573,0.439515,0.503642,0.94318,2.466,8395,339
E-12,0.48816,0.082608,0.150051,0.302157,0.533283,8393,627
E-13,0.635346,0.07853,0.173653,0.902828,2.814423,8521,330
E-2,0.73731,0.451197,0.433118,0.750149,1.210886,8413,1420
E-3,0.718519,0.700358,0.606879,0.630068,0.214407,8188,3213
E-4,0.56685,0.416416,0.512061,0.344141,0.198486,8235,2834
E-5,0.63713,0.07498,0.127556,0.69211,1.251143,8175,343
E-6,0.750395,0.410267,0.569106,0.993522,596.388672,8181,88
E-7,0.8084,0.50904,0.590698,0.978513,27.679958,8191,303
E-8,0.694583,0.408097,0.433884,0.934863,1.699208,8413,645
E-9,0.511924,0.062531,0.093463,0.156055,0.515617,8183,373
F-1,0.394155,0.027407,0.123348,0.976491,4.315056,8465,123
F-2,0.528204,0.402182,0.543204,0.535794,1.293975,8507,2957
F-3,0.147719,0.004337,0.015377,0.02289,0.048267,8257,63
F-4,0.845342,0.095432,0.20354,0.945504,4.003307,3303,93
F-5,0.800311,0.649903,0.759857,0.982382,3.345014,3803,173
F-7,0.641435,0.133178,0.243086,0.578521,2.825652,4935,489
F-8,0.468412,0.302995,0.369707,0.226774,0.132549,2368,537
G-1,0.458104,0.014342,0.035522,0.291138,0.413363,8350,143
