series,auc_roc,auc_pr,f1,accuracy,threshold,n_windows,n_anomaly
D-4,1.0,1.0,0.999846,0.99988,0.939206,8354,3248
D-3,0.977599,0.880467,0.982425,0.986152,0.295379,8521,3298
D-7,0.981865,0.976757,0.98153,0.986973,0.255253,7523,2702
M-6,0.997257,0.980708,0.974227,0.994819,6.06978,1930,199
D-12,0.967518,0.95786,0.966428,0.977177,0.023045,7799,2740
P-2,0.969635,0.959109,0.958067,0.988628,12.91981,8090,1143
D-2,0.955878,0.956271,0.954248,0.956229,0.237398,8476,4240
D-14,0.960317,0.929254,0.947162,0.989226,0.412523,2506,266
D-1,0.96047,0.962761,0.942055,0.957449,16.630745,8390,3259
A-6,0.960659,0.877446,0.932203,0.998154,6.1744,4334,63
M-2,0.94043,0.954294,0.9119,0.902224,4.904163,2158,1163
D-9,0.903547,0.837696,0.89325,0.969398,2.000244,7287,1156
S-2,0.909769,0.808691,0.881356,0.995902,1.987766,1708,33
P-3,0.896798,0.871686,0.868552,0.962264,1.17125,8374,1358
A-5,0.821559,0.680092,0.803279,0.994753,20080.322266,4574,73
D-15,0.868305,0.790853,0.796366,0.868073,2.951587,2039,658
T-9,0.957213,0.829203,0.773519,0.93347,6.007287,977,156
F-5,0.800311,0.649903,0.759857,0.982382,3.345014,3803,173
M-7,0.986259,0.835254,0.746377,0.965636,0.721341,2037,123
T-5,0.863583,0.677993,0.736842,0.990472,1.42815,2099,48
G-6,0.884682,0.586872,0.725389,0.99378,2.232545,8521,123
P-4,0.841376,0.631077,0.706,0.961639,0.031351,7664,509
G-7,0.844134,0.610449,0.656311,0.977623,6.850762,7910,334
D-8,0.875468,0.616907,0.625767,0.992134,0.068216,7755,73
P-11,0.900383,0.654762,0.615694,0.944087,3.404616,3416,272
G-2,0.910616,0.642091,0.593407,0.994891,0.045983,7242,63
E-7,0.8084,0.50904,0.590698,0.978513,27.679958,8191,303
G-3,0.911572,0.556817,0.576923,0.988701,0.159699,7788,73
P-7,0.816387,0.583872,0.556153,0.802691,1.753386,7952,1673
E-10,0.854962,0.4331,0.538737,0.953852,2.579719,8386,366
A-4,0.829848,0.486236,0.518868,0.987188,1.799131,7961,133
E-11,0.877573,0.439515,0.503642,0.94318,2.466,8395,339
T-8,0.877993,0.396879,0.5,0.858571,10.676629,1400,146
A-3,0.819707,0.428898,0.459259,0.972916,1.406272,8086,208
T-12,0.885719,0.231806,0.457265,0.890091,1.470816,2311,143
F-4,0.845342,0.095432,0.20354,0.945504,4.003307,3303,93
